t_s,current_A,voltage_V,resistance_ohm,load_lbs,extension_in,strain1,strain2
0.008352900040335953,0.001,1.332654e-10,1.332654e-07,0.0,0.0,0.0,0.0
0.3243199000135064,0.001,7.137964e-11,7.137964e-08,0.0,0.0,0.0,0.0
0.6410278000403196,0.001,1.435797e-10,1.435797e-07,0.0,0.0,0.0,0.0
0.957267599995248,0.001,8.788251e-11,8.788251e-08,0.0,0.0,0.0,0.0
1.2738239000318572,0.001,5.693963e-11,5.693963e-08,0.0,0.0,0.0,0.0
1.59050000004936,0.001,8.788251e-11,8.788251e-08,0.0,0.0,0.0,0.0
1.9074483000440523,0.001,6.519106e-11,6.519106e-08,0.0,0.0,0.0,0.0
2.22399240010418,0.001,9.819683e-11,9.819683e-08,0.0,0.0,0.0,0.0
2.5404261000221595,0.001,8.375679e-11,8.375678999999999e-08,0.0,0.0,0.0,0.0
2.8566859000129625,0.001,1.002597e-10,1.0025970000000001e-07,0.0,0.0,0.0,0.0
3.17279330000747,0.001,6.31282e-11,6.31282e-08,0.0,0.0,0.0,0.0
3.489405100001022,0.001,6.519106e-11,6.519106e-08,0.0,0.0,0.0,0.0
3.8062340000178665,0.001,5.900248e-11,5.900248e-08,0.0,0.0,0.0,0.0
